Strategy: SHORTEST_QUEUE
ID-145 A-32 S-3
ID-168 A-32 S-10
ID-385 A-32 S-4
ID-417 A-32 S-10
ID-506 A-32 S-10
ID-542 A-32 S-6
ID-839 A-32 S-11
ID-965 A-32 S-7
ID-56 A-33 S-4
ID-127 A-33 S-10
ID-233 A-33 S-3
ID-378 A-33 S-3
ID-403 A-33 S-11
ID-631 A-33 S-8
ID-815 A-33 S-11
ID-869 A-33 S-7
ID-230 A-34 S-11
ID-316 A-34 S-3
ID-457 A-34 S-3
ID-633 A-34 S-8
ID-728 A-34 S-8
ID-928 A-34 S-6
ID-4 A-35 S-10
ID-14 A-35 S-8
ID-109 A-35 S-3
ID-166 A-35 S-10
ID-408 A-35 S-5
ID-507 A-35 S-8
ID-557 A-35 S-4
ID-644 A-35 S-7
ID-673 A-35 S-10
ID-807 A-35 S-7
ID-9 A-36 S-9
ID-78 A-36 S-5
ID-83 A-36 S-9
ID-322 A-36 S-11
ID-368 A-36 S-8
ID-407 A-36 S-4
ID-451 A-36 S-4
ID-643 A-36 S-8
ID-868 A-36 S-10
ID-911 A-36 S-7
ID-943 A-36 S-9
ID-41 A-37 S-3
ID-138 A-37 S-4
ID-382 A-37 S-11
ID-428 A-37 S-3
ID-490 A-37 S-9
ID-689 A-37 S-4
ID-857 A-37 S-5
ID-878 A-37 S-10
ID-32 A-38 S-6
ID-310 A-38 S-3
ID-355 A-38 S-4
ID-580 A-38 S-5
ID-626 A-38 S-4
ID-89 A-39 S-5
ID-107 A-39 S-4
ID-277 A-39 S-6
ID-300 A-39 S-6
ID-344 A-39 S-5
ID-416 A-39 S-7
ID-535 A-39 S-4
ID-568 A-39 S-7
ID-665 A-39 S-8
ID-796 A-39 S-9
ID-826 A-39 S-5
ID-829 A-39 S-5
ID-862 A-39 S-6
ID-890 A-39 S-6
ID-925 A-39 S-9
ID-959 A-39 S-5
ID-116 A-40 S-9
ID-227 A-40 S-9
ID-269 A-40 S-4
ID-301 A-40 S-9
ID-558 A-40 S-11
ID-769 A-40 S-4
ID-101 A-41 S-5
ID-135 A-41 S-5
ID-308 A-41 S-7
ID-343 A-41 S-11
ID-420 A-41 S-8
ID-590 A-41 S-9
ID-622 A-41 S-8
ID-898 A-41 S-4
ID-42 A-42 S-9
ID-189 A-42 S-7
ID-266 A-42 S-7
ID-335 A-42 S-4
ID-578 A-42 S-6
ID-732 A-42 S-5
ID-740 A-42 S-9
ID-761 A-42 S-5
ID-52 A-43 S-3
ID-172 A-43 S-3
ID-255 A-43 S-7
ID-289 A-43 S-3
ID-539 A-43 S-7
ID-569 A-43 S-5
ID-684 A-43 S-6
ID-694 A-43 S-5
ID-752 A-43 S-7
ID-787 A-43 S-7
ID-797 A-43 S-5
ID-879 A-43 S-4
ID-44 A-44 S-5
ID-84 A-44 S-9
ID-111 A-44 S-8
ID-395 A-44 S-9
ID-850 A-44 S-8
ID-986 A-44 S-8
ID-108 A-45 S-8
ID-205 A-45 S-9
ID-393 A-45 S-8
ID-594 A-45 S-9
ID-632 A-45 S-4
ID-775 A-45 S-10
ID-91 A-46 S-6
ID-150 A-46 S-10
ID-405 A-46 S-7
ID-603 A-46 S-9
ID-637 A-46 S-6
ID-721 A-46 S-4
ID-765 A-46 S-7
ID-847 A-46 S-11
ID-864 A-46 S-3
ID-949 A-46 S-9
ID-46 A-47 S-6
ID-180 A-47 S-9
ID-237 A-47 S-9
ID-243 A-47 S-10
ID-302 A-47 S-11
ID-350 A-47 S-11
ID-487 A-47 S-6
ID-536 A-47 S-9
ID-877 A-47 S-8
ID-893 A-47 S-6
ID-924 A-47 S-3
ID-933 A-47 S-11
ID-37 A-48 S-3
ID-104 A-48 S-10
ID-455 A-48 S-7
ID-489 A-48 S-5
ID-629 A-48 S-9
ID-716 A-48 S-6
ID-938 A-48 S-5
ID-951 A-48 S-9
ID-113 A-49 S-5
ID-154 A-49 S-7
ID-307 A-49 S-6
ID-323 A-49 S-4
ID-540 A-49 S-3
ID-555 A-49 S-3
ID-574 A-49 S-8
ID-744 A-49 S-11
ID-770 A-49 S-11
ID-825 A-49 S-7
ID-836 A-49 S-6
ID-146 A-50 S-4
ID-169 A-50 S-8
ID-236 A-50 S-11
ID-245 A-50 S-6
ID-246 A-50 S-9
ID-329 A-50 S-11
ID-508 A-50 S-6
ID-606 A-50 S-5
ID-755 A-50 S-8
ID-23 A-51 S-7
ID-35 A-51 S-3
ID-50 A-51 S-9
ID-112 A-51 S-8
ID-130 A-51 S-4
ID-152 A-51 S-5
ID-270 A-51 S-6
ID-341 A-51 S-9
ID-390 A-51 S-8
ID-445 A-51 S-4
ID-650 A-51 S-11
ID-692 A-51 S-10
ID-982 A-51 S-10
ID-38 A-52 S-7
ID-103 A-52 S-10
ID-215 A-52 S-5
ID-278 A-52 S-6
ID-351 A-52 S-3
ID-367 A-52 S-10
ID-458 A-52 S-4
ID-502 A-52 S-4
ID-702 A-52 S-5
ID-746 A-52 S-6
ID-749 A-52 S-10
ID-763 A-52 S-7
ID-881 A-52 S-10
ID-984 A-52 S-11
ID-70 A-53 S-4
ID-259 A-53 S-4
ID-361 A-53 S-7
ID-482 A-53 S-9
ID-488 A-53 S-5
ID-504 A-53 S-4
ID-735 A-53 S-11
ID-935 A-53 S-7
ID-985 A-53 S-9
ID-3 A-54 S-4
ID-11 A-54 S-6
ID-71 A-54 S-7
ID-82 A-54 S-10
ID-143 A-54 S-4
ID-162 A-54 S-8
ID-248 A-54 S-9
ID-518 A-54 S-4
ID-543 A-54 S-9
ID-715 A-54 S-10
ID-860 A-54 S-11
ID-903 A-54 S-4
ID-919 A-54 S-3
ID-961 A-54 S-6
ID-265 A-55 S-6
ID-456 A-55 S-4
ID-534 A-55 S-4
ID-563 A-55 S-11
ID-600 A-55 S-11
ID-658 A-55 S-4
ID-662 A-55 S-10
ID-713 A-55 S-8
ID-29 A-56 S-10
ID-155 A-56 S-3
ID-187 A-56 S-9
ID-354 A-56 S-4
ID-421 A-56 S-11
ID-427 A-56 S-7
ID-472 A-56 S-9
ID-474 A-56 S-5
ID-547 A-56 S-10
ID-731 A-56 S-7
ID-810 A-56 S-5
ID-941 A-56 S-9
ID-954 A-56 S-4
ID-27 A-57 S-11
ID-161 A-57 S-6
ID-191 A-57 S-4
ID-271 A-57 S-4
ID-334 A-57 S-4
ID-538 A-57 S-7
ID-552 A-57 S-3
ID-843 A-57 S-3
ID-975 A-57 S-7
ID-77 A-58 S-7
ID-93 A-58 S-10
ID-95 A-58 S-4
ID-362 A-58 S-9
ID-541 A-58 S-3
ID-751 A-58 S-10
ID-102 A-59 S-10
ID-170 A-59 S-3
ID-297 A-59 S-11
ID-396 A-59 S-11
ID-483 A-59 S-9
ID-813 A-59 S-9
ID-891 A-59 S-11
ID-904 A-59 S-3
ID-929 A-59 S-8
ID-991 A-59 S-7
ID-163 A-60 S-3
ID-240 A-60 S-10
ID-582 A-60 S-8
ID-585 A-60 S-9
ID-680 A-60 S-7
ID-685 A-60 S-3
ID-709 A-60 S-9
ID-717 A-60 S-11
ID-724 A-60 S-7
ID-757 A-60 S-8
ID-789 A-60 S-6
ID-802 A-60 S-4
ID-909 A-60 S-6
ID-144 A-61 S-8
ID-160 A-61 S-10
ID-249 A-61 S-3
ID-295 A-61 S-3
ID-333 A-61 S-8
ID-443 A-61 S-9
ID-571 A-61 S-11
ID-634 A-61 S-6
ID-675 A-61 S-8
ID-817 A-61 S-5
ID-892 A-61 S-9
ID-926 A-61 S-9
ID-216 A-62 S-3
ID-369 A-62 S-3
ID-401 A-62 S-7
ID-424 A-62 S-3
ID-433 A-62 S-8
ID-439 A-62 S-7
ID-610 A-62 S-10
ID-669 A-62 S-7
ID-835 A-62 S-10
ID-851 A-62 S-8
ID-960 A-62 S-6
ID-0 A-63 S-11
ID-305 A-63 S-9
ID-309 A-63 S-7
ID-410 A-63 S-3
ID-621 A-63 S-11
ID-793 A-63 S-6
ID-844 A-63 S-8
ID-915 A-63 S-10
ID-972 A-63 S-10
ID-198 A-64 S-8
ID-339 A-64 S-9
ID-400 A-64 S-11
ID-441 A-64 S-5
ID-450 A-64 S-9
ID-468 A-64 S-3
ID-584 A-64 S-7
ID-635 A-64 S-6
ID-710 A-64 S-6
ID-918 A-64 S-10
ID-983 A-64 S-7
ID-31 A-65 S-9
ID-58 A-65 S-4
ID-153 A-65 S-3
ID-177 A-65 S-6
ID-209 A-65 S-10
ID-284 A-65 S-3
ID-299 A-65 S-5
ID-616 A-65 S-9
ID-661 A-65 S-4
ID-706 A-65 S-6
ID-822 A-65 S-11
ID-53 A-66 S-10
ID-195 A-66 S-3
ID-202 A-66 S-11
ID-222 A-66 S-9
ID-268 A-66 S-5
ID-377 A-66 S-7
ID-397 A-66 S-9
ID-492 A-66 S-11
ID-855 A-66 S-4
ID-997 A-66 S-5
ID-294 A-67 S-9
ID-736 A-67 S-3
ID-820 A-67 S-11
ID-899 A-67 S-7
ID-921 A-67 S-8
ID-992 A-67 S-11
ID-54 A-68 S-3
ID-165 A-68 S-4
ID-406 A-68 S-11
ID-670 A-68 S-11
ID-734 A-68 S-4
ID-747 A-68 S-7
ID-873 A-68 S-5
ID-275 A-69 S-9
ID-331 A-69 S-10
ID-389 A-69 S-9
ID-544 A-69 S-10
ID-794 A-69 S-7
ID-803 A-69 S-7
ID-805 A-69 S-4
ID-854 A-69 S-10
ID-51 A-70 S-10
ID-134 A-70 S-10
ID-550 A-70 S-5
ID-636 A-70 S-11
ID-693 A-70 S-6
ID-905 A-70 S-7
ID-74 A-71 S-11
ID-94 A-71 S-10
ID-250 A-71 S-3
ID-286 A-71 S-6
ID-288 A-71 S-3
ID-337 A-71 S-11
ID-619 A-71 S-3
ID-714 A-71 S-10
ID-738 A-71 S-9
ID-767 A-71 S-7
ID-799 A-71 S-5
ID-846 A-71 S-10
ID-946 A-71 S-8
ID-79 A-72 S-6
ID-90 A-72 S-4
ID-218 A-72 S-6
ID-332 A-72 S-3
ID-412 A-72 S-8
ID-415 A-72 S-5
ID-586 A-72 S-10
ID-697 A-72 S-7
ID-842 A-72 S-9
ID-937 A-72 S-5
ID-977 A-72 S-7
ID-39 A-73 S-4
ID-124 A-73 S-7
ID-151 A-73 S-5
ID-176 A-73 S-4
ID-182 A-73 S-3
ID-370 A-73 S-10
ID-503 A-73 S-3
ID-638 A-73 S-5
ID-996 A-73 S-4
ID-22 A-74 S-10
ID-62 A-74 S-11
ID-149 A-74 S-3
ID-225 A-74 S-6
ID-376 A-74 S-8
ID-516 A-74 S-9
ID-523 A-74 S-6
ID-527 A-74 S-4
ID-630 A-74 S-6
ID-781 A-74 S-7
ID-973 A-74 S-9
ID-200 A-75 S-5
ID-241 A-75 S-5
ID-306 A-75 S-6
ID-346 A-75 S-4
ID-398 A-75 S-8
ID-549 A-75 S-3
ID-649 A-75 S-5
ID-894 A-75 S-10
ID-955 A-75 S-4
ID-67 A-76 S-10
ID-126 A-76 S-3
ID-298 A-76 S-6
ID-324 A-76 S-11
ID-404 A-76 S-6
ID-409 A-76 S-8
ID-461 A-76 S-3
ID-533 A-76 S-6
ID-583 A-76 S-9
ID-614 A-76 S-7
ID-617 A-76 S-7
ID-701 A-76 S-8
ID-704 A-76 S-4
ID-723 A-76 S-8
ID-785 A-76 S-4
ID-840 A-76 S-7
ID-902 A-76 S-11
ID-870 A-77 S-5
ID-30 A-78 S-7
ID-184 A-78 S-8
ID-219 A-78 S-3
ID-234 A-78 S-5
ID-446 A-78 S-9
ID-448 A-78 S-10
ID-576 A-78 S-6
ID-667 A-78 S-3
ID-791 A-78 S-4
ID-792 A-78 S-4
ID-827 A-78 S-3
ID-852 A-78 S-4
ID-859 A-78 S-7
ID-923 A-78 S-6
ID-930 A-78 S-5
ID-940 A-78 S-6
ID-948 A-78 S-3
ID-24 A-79 S-3
ID-47 A-79 S-9
ID-73 A-79 S-8
ID-87 A-79 S-10
ID-117 A-79 S-7
ID-196 A-79 S-5
ID-282 A-79 S-11
ID-359 A-79 S-4
ID-365 A-79 S-3
ID-517 A-79 S-6
ID-609 A-79 S-8
ID-612 A-79 S-6
ID-920 A-79 S-4
ID-932 A-79 S-9
ID-45 A-80 S-11
ID-223 A-80 S-10
ID-258 A-80 S-8
ID-264 A-80 S-5
ID-314 A-80 S-6
ID-514 A-80 S-7
ID-525 A-80 S-6
ID-671 A-80 S-5
ID-672 A-80 S-6
ID-722 A-80 S-7
ID-729 A-80 S-9
ID-737 A-80 S-5
ID-952 A-80 S-3
ID-100 A-81 S-3
ID-214 A-81 S-4
ID-252 A-81 S-10
ID-349 A-81 S-9
ID-430 A-81 S-4
ID-466 A-81 S-4
ID-566 A-81 S-5
ID-627 A-81 S-7
ID-861 A-81 S-11
ID-987 A-81 S-4
ID-72 A-82 S-8
ID-175 A-82 S-3
ID-224 A-82 S-5
ID-501 A-82 S-8
ID-608 A-82 S-8
ID-695 A-82 S-8
ID-6 A-83 S-9
ID-280 A-83 S-11
ID-375 A-83 S-3
ID-453 A-83 S-11
ID-478 A-83 S-4
ID-496 A-83 S-6
ID-679 A-83 S-7
ID-934 A-83 S-7
ID-970 A-83 S-3
ID-33 A-84 S-9
ID-86 A-84 S-6
ID-148 A-84 S-9
ID-231 A-84 S-6
ID-263 A-84 S-11
ID-274 A-84 S-5
ID-313 A-84 S-6
ID-459 A-84 S-7
ID-481 A-84 S-9
ID-515 A-84 S-6
ID-956 A-84 S-3
ID-994 A-84 S-10
ID-5 A-85 S-7
ID-303 A-85 S-10
ID-338 A-85 S-11
ID-413 A-85 S-6
ID-475 A-85 S-5
ID-499 A-85 S-5
ID-601 A-85 S-5
ID-654 A-85 S-11
ID-668 A-85 S-8
ID-691 A-85 S-9
ID-700 A-85 S-3
ID-739 A-85 S-10
ID-811 A-85 S-3
ID-824 A-85 S-4
ID-863 A-85 S-5
ID-97 A-86 S-6
ID-119 A-86 S-9
ID-128 A-86 S-6
ID-171 A-86 S-8
ID-208 A-86 S-8
ID-247 A-86 S-6
ID-431 A-86 S-10
ID-465 A-86 S-4
ID-479 A-86 S-7
ID-764 A-86 S-9
ID-115 A-87 S-7
ID-179 A-87 S-10
ID-273 A-87 S-4
ID-276 A-87 S-3
ID-285 A-87 S-7
ID-304 A-87 S-7
ID-386 A-87 S-9
ID-434 A-87 S-4
ID-440 A-87 S-8
ID-664 A-87 S-10
ID-871 A-87 S-3
ID-914 A-87 S-8
ID-21 A-88 S-5
ID-60 A-88 S-9
ID-129 A-88 S-11
ID-156 A-88 S-6
ID-167 A-88 S-3
ID-207 A-88 S-11
ID-384 A-88 S-6
ID-425 A-88 S-7
ID-726 A-88 S-5
ID-795 A-88 S-5
ID-883 A-88 S-7
ID-953 A-88 S-7
ID-181 A-89 S-6
ID-228 A-89 S-10
ID-257 A-89 S-11
ID-291 A-89 S-8
ID-429 A-89 S-11
ID-464 A-89 S-7
ID-484 A-89 S-3
ID-513 A-89 S-11
ID-607 A-89 S-3
ID-645 A-89 S-6
ID-748 A-89 S-10
ID-759 A-89 S-7
ID-831 A-89 S-9
ID-57 A-90 S-5
ID-96 A-90 S-7
ID-210 A-90 S-4
ID-287 A-90 S-11
ID-432 A-90 S-7
ID-546 A-90 S-6
ID-753 A-90 S-3
ID-69 A-91 S-9
ID-206 A-91 S-5
ID-318 A-91 S-5
ID-449 A-91 S-8
ID-529 A-91 S-11
ID-591 A-91 S-3
ID-678 A-91 S-6
ID-730 A-91 S-11
ID-777 A-91 S-5
ID-896 A-91 S-9
ID-913 A-91 S-9
ID-272 A-92 S-3
ID-279 A-92 S-10
ID-442 A-92 S-9
ID-599 A-92 S-4
ID-604 A-92 S-11
ID-613 A-92 S-8
ID-624 A-92 S-3
ID-788 A-92 S-9
ID-804 A-92 S-8
ID-8 A-93 S-6
ID-18 A-93 S-6
ID-98 A-93 S-9
ID-261 A-93 S-11
ID-436 A-93 S-5
ID-532 A-93 S-4
ID-548 A-93 S-11
ID-551 A-93 S-5
ID-727 A-93 S-9
ID-812 A-93 S-10
ID-867 A-93 S-5
ID-141 A-94 S-10
ID-147 A-94 S-5
ID-330 A-94 S-4
ID-494 A-94 S-11
ID-597 A-94 S-10
ID-741 A-94 S-4
ID-990 A-94 S-5
ID-66 A-95 S-10
ID-132 A-95 S-8
ID-256 A-95 S-10
ID-320 A-95 S-3
ID-595 A-95 S-5
ID-640 A-95 S-5
ID-756 A-95 S-7
ID-895 A-95 S-6
ID-217 A-96 S-7
ID-426 A-96 S-5
ID-477 A-96 S-8
ID-567 A-96 S-7
ID-725 A-96 S-3
ID-733 A-96 S-6
ID-754 A-96 S-3
ID-828 A-96 S-7
ID-848 A-96 S-5
ID-922 A-96 S-4
ID-75 A-97 S-5
ID-190 A-97 S-8
ID-454 A-97 S-5
ID-495 A-97 S-5
ID-511 A-97 S-11
ID-553 A-97 S-10
ID-556 A-97 S-4
ID-623 A-97 S-7
ID-819 A-97 S-4
ID-36 A-98 S-5
ID-68 A-98 S-9
ID-123 A-98 S-6
ID-371 A-98 S-3
ID-653 A-98 S-9
ID-698 A-98 S-7
ID-841 A-98 S-6
ID-901 A-98 S-3
ID-907 A-98 S-5
ID-964 A-98 S-4
ID-342 A-99 S-5
ID-353 A-99 S-3
ID-394 A-99 S-7
ID-422 A-99 S-3
ID-521 A-99 S-4
ID-554 A-99 S-4
ID-561 A-99 S-11
ID-776 A-99 S-10
ID-882 A-99 S-10
ID-936 A-99 S-7
ID-92 A-100 S-5
ID-120 A-100 S-3
ID-186 A-100 S-5
ID-194 A-100 S-5
ID-471 A-100 S-7
ID-845 A-100 S-11
ID-916 A-100 S-6
ID-931 A-100 S-7
ID-942 A-100 S-6
ID-957 A-100 S-7
ID-969 A-100 S-10
ID-61 A-101 S-5
ID-80 A-101 S-3
ID-122 A-101 S-6
ID-159 A-101 S-11
ID-651 A-101 S-10
ID-886 A-101 S-6
ID-888 A-101 S-10
ID-900 A-101 S-6
ID-945 A-101 S-10
ID-232 A-102 S-10
ID-239 A-102 S-3
ID-611 A-102 S-8
ID-677 A-102 S-4
ID-989 A-102 S-10
ID-136 A-103 S-5
ID-139 A-103 S-3
ID-328 A-103 S-7
ID-373 A-103 S-7
ID-460 A-103 S-8
ID-655 A-103 S-4
ID-833 A-103 S-4
ID-875 A-103 S-10
ID-950 A-103 S-4
ID-999 A-103 S-10
ID-201 A-104 S-5
ID-519 A-104 S-7
ID-666 A-104 S-4
ID-720 A-104 S-9
ID-786 A-104 S-4
ID-832 A-104 S-8
ID-958 A-104 S-7
ID-13 A-105 S-4
ID-174 A-105 S-8
ID-212 A-105 S-5
ID-347 A-105 S-11
ID-473 A-105 S-11
ID-530 A-105 S-11
ID-559 A-105 S-8
ID-772 A-105 S-9
ID-780 A-105 S-5
ID-816 A-105 S-3
ID-838 A-105 S-3
ID-968 A-105 S-5
ID-7 A-106 S-11
ID-43 A-106 S-5
ID-133 A-106 S-11
ID-164 A-106 S-11
ID-226 A-106 S-5
ID-381 A-106 S-10
ID-690 A-106 S-11
ID-742 A-106 S-5
ID-790 A-106 S-4
ID-865 A-106 S-4
ID-979 A-106 S-8
ID-114 A-107 S-7
ID-118 A-107 S-4
ID-121 A-107 S-6
ID-183 A-107 S-6
ID-372 A-107 S-11
ID-463 A-107 S-6
ID-562 A-107 S-6
ID-647 A-107 S-9
ID-705 A-107 S-10
ID-712 A-107 S-6
ID-771 A-107 S-9
ID-814 A-107 S-3
ID-889 A-107 S-9
ID-906 A-107 S-6
ID-976 A-107 S-5
ID-221 A-108 S-11
ID-296 A-108 S-7
ID-345 A-108 S-5
ID-485 A-108 S-10
ID-498 A-108 S-8
ID-560 A-108 S-10
ID-605 A-108 S-3
ID-618 A-108 S-9
ID-642 A-108 S-3
ID-743 A-108 S-9
ID-853 A-108 S-8
ID-980 A-108 S-3
ID-260 A-109 S-7
ID-363 A-109 S-7
ID-462 A-109 S-8
ID-620 A-109 S-4
ID-652 A-109 S-8
ID-676 A-109 S-10
ID-858 A-109 S-9
ID-887 A-109 S-10

Time: 1

Time: 2

Time: 4

Time: 5

Time: 6

Time: 7

Time: 8

Time: 8

Time: 10

Time: 11

Time: 12
Chosen queue 0
Task sleeping: ID-1 A-10 S-5
Client ID-1 A-10 S-5 was put in queue number 0
Chosen queue 1
Task sleeping: ID-211 A-10 S-8
Client ID-211 A-10 S-8 was put in queue number 1
Chosen queue 2
Task sleeping: ID-437 A-10 S-4
Client ID-437 A-10 S-4 was put in queue number 2
Task taken: ID-1 A-10 S-5
Chosen queue 3
Task sleeping: ID-491 A-10 S-10
Client ID-491 A-10 S-10 was put in queue number 3
Chosen queue 0
Task sleeping: ID-545 A-10 S-6
Client ID-545 A-10 S-6 was put in queue number 0
Chosen queue 4
Client ID-628 A-10 S-3 was put in queue number 4
Chosen queue 5
Client ID-876 A-10 S-9 was put in queue number 5
Task sleeping: ID-876 A-10 S-9
Task sleeping: ID-628 A-10 S-3

Time: 21
Task taken: ID-437 A-10 S-4
Chosen queue 6
Task sleeping: ID-105 A-11 S-9
Client ID-105 A-11 S-9 was put in queue number 6
Task taken: ID-628 A-10 S-3
Task taken: ID-211 A-10 S-8
Chosen queue 2
Task sleeping: ID-254 A-11 S-6
Client ID-254 A-11 S-6 was put in queue number 2
Chosen queue 1
Task sleeping: ID-283 A-11 S-7
Client ID-283 A-11 S-7 was put in queue number 1
Task taken: ID-545 A-10 S-6
Chosen queue 4
Task sleeping: ID-364 A-11 S-11
Client ID-364 A-11 S-11 was put in queue number 4
Chosen queue 0
Client ID-366 A-11 S-9 was put in queue number 0
Task sleeping: ID-366 A-11 S-9
Chosen queue 7
Task sleeping: ID-602 A-11 S-6
Client ID-602 A-11 S-6 was put in queue number 7
Task taken: ID-876 A-10 S-9
Chosen queue 8
Task taken: ID-491 A-10 S-10
Task sleeping: ID-766 A-11 S-3
