Strategy: SHORTEST_TIME
ID-812 A-36 S-9
ID-883 A-36 S-8
ID-903 A-36 S-4
ID-53 A-37 S-7
ID-150 A-37 S-3
ID-265 A-37 S-3
ID-283 A-37 S-5
ID-401 A-37 S-4
ID-410 A-37 S-8
ID-503 A-37 S-4
ID-610 A-37 S-11
ID-768 A-37 S-6
ID-801 A-37 S-5
ID-877 A-37 S-6
ID-17 A-38 S-3
ID-24 A-38 S-7
ID-124 A-38 S-10
ID-373 A-38 S-4
ID-595 A-38 S-8
ID-617 A-38 S-6
ID-674 A-38 S-9
ID-780 A-38 S-5
ID-834 A-38 S-8
ID-897 A-38 S-5
ID-41 A-39 S-3
ID-116 A-39 S-11
ID-274 A-39 S-8
ID-398 A-39 S-4
ID-539 A-39 S-7
ID-570 A-39 S-8
ID-585 A-39 S-3
ID-596 A-39 S-11
ID-623 A-39 S-6
ID-644 A-39 S-8
ID-681 A-39 S-6
ID-688 A-39 S-10
ID-725 A-39 S-5
ID-788 A-39 S-8
ID-29 A-40 S-5
ID-59 A-40 S-8
ID-112 A-40 S-4
ID-138 A-40 S-4
ID-277 A-40 S-8
ID-402 A-40 S-6
ID-577 A-40 S-10
ID-637 A-40 S-3
ID-740 A-40 S-11
ID-770 A-40 S-4
ID-793 A-40 S-9
ID-803 A-40 S-9
ID-90 A-41 S-5
ID-229 A-41 S-7
ID-311 A-41 S-7
ID-359 A-41 S-4
ID-455 A-41 S-10
ID-460 A-41 S-6
ID-528 A-41 S-9
ID-684 A-41 S-4
ID-956 A-41 S-3
ID-975 A-41 S-4
ID-207 A-42 S-8
ID-234 A-42 S-11
ID-235 A-42 S-9
ID-446 A-42 S-7
ID-648 A-42 S-8
ID-662 A-42 S-11
ID-715 A-42 S-9
ID-830 A-42 S-5
ID-965 A-42 S-6
ID-190 A-43 S-8
ID-236 A-43 S-6
ID-312 A-43 S-11
ID-321 A-43 S-7
ID-344 A-43 S-4
ID-428 A-43 S-5
ID-456 A-43 S-10
ID-483 A-43 S-6
ID-496 A-43 S-11
ID-536 A-43 S-9
ID-574 A-43 S-7
ID-613 A-43 S-5
ID-738 A-43 S-11
ID-943 A-43 S-4
ID-50 A-44 S-6
ID-58 A-44 S-6
ID-459 A-44 S-7
ID-997 A-44 S-10
ID-0 A-45 S-7
ID-108 A-45 S-5
ID-125 A-45 S-11
ID-195 A-45 S-5
ID-256 A-45 S-3
ID-298 A-45 S-4
ID-360 A-45 S-4
ID-395 A-45 S-9
ID-485 A-45 S-8
ID-579 A-45 S-8
ID-641 A-45 S-9
ID-699 A-45 S-8
ID-709 A-45 S-9
ID-712 A-45 S-5
ID-864 A-45 S-5
ID-865 A-45 S-5
ID-884 A-45 S-8
ID-905 A-45 S-11
ID-980 A-45 S-4
ID-18 A-46 S-10
ID-110 A-46 S-6
ID-174 A-46 S-11
ID-196 A-46 S-6
ID-216 A-46 S-3
ID-254 A-46 S-9
ID-258 A-46 S-10
ID-313 A-46 S-11
ID-326 A-46 S-9
ID-369 A-46 S-8
ID-516 A-46 S-11
ID-540 A-46 S-4
ID-591 A-46 S-7
ID-693 A-46 S-9
ID-758 A-46 S-3
ID-787 A-46 S-6
ID-951 A-46 S-9
ID-241 A-47 S-4
ID-300 A-47 S-10
ID-423 A-47 S-8
ID-538 A-47 S-6
ID-598 A-47 S-3
ID-629 A-47 S-6
ID-651 A-47 S-11
ID-863 A-47 S-6
ID-912 A-47 S-11
ID-966 A-47 S-9
ID-146 A-48 S-10
ID-230 A-48 S-4
ID-380 A-48 S-11
ID-448 A-48 S-10
ID-465 A-48 S-5
ID-484 A-48 S-11
ID-510 A-48 S-6
ID-563 A-48 S-7
ID-702 A-48 S-3
ID-706 A-48 S-7
ID-733 A-48 S-4
ID-821 A-48 S-3
ID-986 A-48 S-6
ID-71 A-49 S-3
ID-350 A-49 S-9
ID-463 A-49 S-10
ID-531 A-49 S-7
ID-611 A-49 S-10
ID-657 A-49 S-8
ID-751 A-49 S-5
ID-942 A-49 S-8
ID-2 A-50 S-11
ID-91 A-50 S-8
ID-137 A-50 S-10
ID-187 A-50 S-8
ID-203 A-50 S-3
ID-212 A-50 S-10
ID-291 A-50 S-11
ID-341 A-50 S-8
ID-627 A-50 S-5
ID-649 A-50 S-5
ID-774 A-50 S-5
ID-833 A-50 S-3
ID-970 A-50 S-4
ID-227 A-51 S-10
ID-267 A-51 S-8
ID-393 A-51 S-7
ID-521 A-51 S-3
ID-588 A-51 S-3
ID-624 A-51 S-5
ID-633 A-51 S-11
ID-878 A-51 S-10
ID-913 A-51 S-11
ID-958 A-51 S-6
ID-49 A-52 S-3
ID-51 A-52 S-3
ID-280 A-52 S-6
ID-323 A-52 S-9
ID-358 A-52 S-10
ID-660 A-52 S-4
ID-683 A-52 S-10
ID-752 A-52 S-5
ID-874 A-52 S-10
ID-902 A-52 S-10
ID-960 A-52 S-6
ID-44 A-53 S-4
ID-193 A-53 S-4
ID-209 A-53 S-10
ID-225 A-53 S-8
ID-612 A-53 S-6
ID-614 A-53 S-11
ID-620 A-53 S-4
ID-671 A-53 S-10
ID-675 A-53 S-4
ID-703 A-53 S-6
ID-720 A-53 S-10
ID-761 A-53 S-7
ID-811 A-53 S-10
ID-922 A-53 S-8
ID-199 A-54 S-9
ID-217 A-54 S-3
ID-399 A-54 S-6
ID-419 A-54 S-11
ID-508 A-54 S-7
ID-645 A-54 S-10
ID-718 A-54 S-6
ID-819 A-54 S-9
ID-847 A-54 S-9
ID-851 A-54 S-10
ID-880 A-54 S-7
ID-920 A-54 S-10
ID-944 A-54 S-8
ID-962 A-54 S-7
ID-101 A-55 S-11
ID-120 A-55 S-4
ID-152 A-55 S-3
ID-164 A-55 S-7
ID-208 A-55 S-5
ID-285 A-55 S-7
ID-289 A-55 S-3
ID-290 A-55 S-11
ID-509 A-55 S-8
ID-518 A-55 S-8
ID-655 A-55 S-7
ID-785 A-55 S-10
ID-1 A-56 S-10
ID-21 A-56 S-5
ID-103 A-56 S-8
ID-106 A-56 S-9
ID-129 A-56 S-5
ID-296 A-56 S-9
ID-534 A-56 S-7
ID-552 A-56 S-10
ID-564 A-56 S-4
ID-722 A-56 S-9
ID-823 A-56 S-9
ID-831 A-56 S-9
ID-855 A-56 S-3
ID-875 A-56 S-11
ID-8 A-57 S-9
ID-84 A-57 S-10
ID-89 A-57 S-9
ID-345 A-57 S-9
ID-475 A-57 S-7
ID-667 A-57 S-4
ID-973 A-57 S-7
ID-46 A-58 S-5
ID-76 A-58 S-10
ID-322 A-58 S-8
ID-737 A-58 S-4
ID-928 A-58 S-9
ID-929 A-58 S-5
ID-937 A-58 S-10
ID-967 A-58 S-5
ID-984 A-58 S-5
ID-15 A-59 S-9
ID-45 A-59 S-6
ID-131 A-59 S-8
ID-136 A-59 S-7
ID-149 A-59 S-6
ID-182 A-59 S-11
ID-307 A-59 S-11
ID-385 A-59 S-5
ID-394 A-59 S-3
ID-480 A-59 S-9
ID-497 A-59 S-3
ID-525 A-59 S-5
ID-583 A-59 S-5
ID-773 A-59 S-6
ID-7 A-60 S-8
ID-85 A-60 S-5
ID-438 A-60 S-11
ID-638 A-60 S-4
ID-708 A-60 S-11
ID-35 A-61 S-10
ID-126 A-61 S-9
ID-327 A-61 S-5
ID-332 A-61 S-6
ID-478 A-61 S-3
ID-479 A-61 S-4
ID-856 A-61 S-5
ID-978 A-61 S-7
ID-987 A-61 S-6
ID-42 A-62 S-7
ID-82 A-62 S-7
ID-257 A-62 S-8
ID-299 A-62 S-4
ID-473 A-62 S-11
ID-523 A-62 S-10
ID-692 A-62 S-9
ID-756 A-62 S-11
ID-802 A-62 S-4
ID-820 A-62 S-3
ID-882 A-62 S-10
ID-887 A-62 S-6
ID-5 A-63 S-8
ID-65 A-63 S-5
ID-151 A-63 S-10
ID-183 A-63 S-11
ID-314 A-63 S-4
ID-396 A-63 S-7
ID-403 A-63 S-3
ID-476 A-63 S-6
ID-628 A-63 S-11
ID-748 A-63 S-10
ID-824 A-63 S-5
ID-853 A-63 S-8
ID-894 A-63 S-10
ID-121 A-64 S-6
ID-253 A-64 S-5
ID-282 A-64 S-6
ID-287 A-64 S-9
ID-329 A-64 S-6
ID-554 A-64 S-10
ID-898 A-64 S-3
ID-963 A-64 S-5
ID-78 A-65 S-10
ID-244 A-65 S-11
ID-308 A-65 S-6
ID-371 A-65 S-6
ID-440 A-65 S-3
ID-462 A-65 S-8
ID-735 A-65 S-5
ID-742 A-65 S-5
ID-790 A-65 S-6
ID-832 A-65 S-9
ID-12 A-66 S-8
ID-60 A-66 S-4
ID-115 A-66 S-10
ID-206 A-66 S-8
ID-431 A-66 S-9
ID-469 A-66 S-3
ID-589 A-66 S-9
ID-616 A-66 S-10
ID-663 A-66 S-5
ID-668 A-66 S-7
ID-772 A-66 S-11
ID-777 A-66 S-8
ID-870 A-66 S-10
ID-26 A-67 S-3
ID-56 A-67 S-9
ID-275 A-67 S-11
ID-357 A-67 S-7
ID-387 A-67 S-5
ID-405 A-67 S-9
ID-467 A-67 S-7
ID-571 A-67 S-9
ID-682 A-67 S-4
ID-695 A-67 S-3
ID-716 A-67 S-4
ID-764 A-67 S-8
ID-781 A-67 S-3
ID-797 A-67 S-3
ID-961 A-67 S-3
ID-19 A-68 S-9
ID-87 A-68 S-10
ID-98 A-68 S-4
ID-272 A-68 S-10
ID-295 A-68 S-4
ID-519 A-68 S-6
ID-727 A-68 S-6
ID-744 A-68 S-9
ID-885 A-68 S-6
ID-911 A-68 S-3
ID-86 A-69 S-6
ID-237 A-69 S-4
ID-337 A-69 S-8
ID-379 A-69 S-11
ID-430 A-69 S-8
ID-435 A-69 S-7
ID-506 A-69 S-10
ID-511 A-69 S-9
ID-568 A-69 S-6
ID-622 A-69 S-3
ID-743 A-69 S-8
ID-792 A-69 S-9
ID-910 A-69 S-9
ID-964 A-69 S-4
ID-982 A-69 S-9
ID-75 A-70 S-10
ID-201 A-70 S-11
ID-223 A-70 S-10
ID-263 A-70 S-7
ID-361 A-70 S-9
ID-367 A-70 S-6
ID-375 A-70 S-10
ID-500 A-70 S-4
ID-537 A-70 S-3
ID-625 A-70 S-10
ID-782 A-70 S-4
ID-939 A-70 S-10
ID-30 A-71 S-8
ID-153 A-71 S-3
ID-218 A-71 S-8
ID-268 A-71 S-8
ID-316 A-71 S-6
ID-425 A-71 S-8
ID-447 A-71 S-6
ID-470 A-71 S-5
ID-488 A-71 S-3
ID-769 A-71 S-7
ID-899 A-71 S-11
ID-947 A-71 S-3
ID-991 A-71 S-7
ID-14 A-72 S-4
ID-130 A-72 S-4
ID-140 A-72 S-5
ID-172 A-72 S-11
ID-286 A-72 S-11
ID-303 A-72 S-11
ID-328 A-72 S-11
ID-551 A-72 S-5
ID-556 A-72 S-6
ID-618 A-72 S-11
ID-784 A-72 S-11
ID-839 A-72 S-8
ID-844 A-72 S-9
ID-892 A-72 S-10
ID-916 A-72 S-4
ID-969 A-72 S-5
ID-974 A-72 S-11
ID-134 A-73 S-11
ID-324 A-73 S-4
ID-408 A-73 S-7
ID-491 A-73 S-10
ID-609 A-73 S-6
ID-615 A-73 S-4
ID-656 A-73 S-7
ID-678 A-73 S-4
ID-734 A-73 S-4
ID-862 A-73 S-7
ID-879 A-73 S-6
ID-917 A-73 S-11
ID-933 A-73 S-8
ID-4 A-74 S-5
ID-62 A-74 S-7
ID-109 A-74 S-3
ID-156 A-74 S-3
ID-177 A-74 S-8
ID-200 A-74 S-11
ID-232 A-74 S-6
ID-251 A-74 S-8
ID-723 A-74 S-4
ID-766 A-74 S-8
ID-795 A-74 S-6
ID-906 A-74 S-10
ID-67 A-75 S-7
ID-171 A-75 S-3
ID-336 A-75 S-11
ID-383 A-75 S-3
ID-494 A-75 S-6
ID-750 A-75 S-9
ID-763 A-75 S-10
ID-901 A-75 S-5
ID-935 A-75 S-10
ID-938 A-75 S-10
ID-158 A-76 S-10
ID-197 A-76 S-5
ID-543 A-76 S-11
ID-605 A-76 S-7
ID-888 A-76 S-5
ID-245 A-77 S-9
ID-260 A-77 S-5
ID-370 A-77 S-7
ID-413 A-77 S-3
ID-471 A-77 S-3
ID-493 A-77 S-8
ID-869 A-77 S-9
ID-873 A-77 S-9
ID-907 A-77 S-9
ID-13 A-78 S-9
ID-83 A-78 S-9
ID-96 A-78 S-4
ID-191 A-78 S-6
ID-432 A-78 S-4
ID-517 A-78 S-8
ID-930 A-78 S-7
ID-88 A-79 S-7
ID-301 A-79 S-7
ID-372 A-79 S-5
ID-461 A-79 S-8
ID-578 A-79 S-3
ID-581 A-79 S-5
ID-604 A-79 S-8
ID-765 A-79 S-8
ID-860 A-79 S-9
ID-890 A-79 S-8
ID-11 A-80 S-8
ID-159 A-80 S-4
ID-305 A-80 S-3
ID-306 A-80 S-4
ID-318 A-80 S-6
ID-415 A-80 S-9
ID-639 A-80 S-8
ID-665 A-80 S-4
ID-789 A-80 S-3
ID-63 A-81 S-11
ID-281 A-81 S-6
ID-424 A-81 S-3
ID-472 A-81 S-8
ID-549 A-81 S-4
ID-569 A-81 S-11
ID-707 A-81 S-4
ID-808 A-81 S-7
ID-940 A-81 S-3
ID-221 A-82 S-9
ID-240 A-82 S-11
ID-414 A-82 S-10
ID-490 A-82 S-3
ID-601 A-82 S-8
ID-619 A-82 S-5
ID-931 A-82 S-3
ID-100 A-83 S-8
ID-255 A-83 S-10
ID-384 A-83 S-3
ID-457 A-83 S-9
ID-562 A-83 S-4
ID-586 A-83 S-10
ID-705 A-83 S-3
ID-995 A-83 S-10
ID-996 A-83 S-7
ID-999 A-83 S-3
ID-66 A-84 S-9
ID-180 A-84 S-8
ID-192 A-84 S-6
ID-284 A-84 S-3
ID-339 A-84 S-9
ID-354 A-84 S-8
ID-489 A-84 S-4
ID-587 A-84 S-7
ID-741 A-84 S-8
ID-755 A-84 S-11
ID-837 A-84 S-3
ID-858 A-84 S-11
ID-871 A-84 S-3
ID-921 A-84 S-10
ID-936 A-84 S-5
ID-977 A-84 S-7
ID-102 A-85 S-9
ID-144 A-85 S-9
ID-215 A-85 S-8
ID-242 A-85 S-11
ID-243 A-85 S-11
ID-315 A-85 S-7
ID-355 A-85 S-5
ID-445 A-85 S-4
ID-676 A-85 S-4
ID-827 A-85 S-4
ID-859 A-85 S-6
ID-988 A-85 S-4
ID-93 A-86 S-7
ID-107 A-86 S-3
ID-185 A-86 S-10
ID-608 A-86 S-3
ID-739 A-86 S-6
ID-809 A-86 S-7
ID-846 A-86 S-5
ID-70 A-87 S-11
ID-247 A-87 S-8
ID-347 A-87 S-11
ID-364 A-87 S-6
ID-374 A-87 S-10
ID-520 A-87 S-5
ID-566 A-87 S-11
ID-575 A-87 S-9
ID-658 A-87 S-3
ID-736 A-87 S-6
ID-747 A-87 S-3
ID-946 A-87 S-7
ID-954 A-87 S-5
ID-226 A-88 S-6
ID-349 A-88 S-6
ID-377 A-88 S-9
ID-420 A-88 S-11
ID-477 A-88 S-4
ID-514 A-88 S-3
ID-670 A-88 S-7
ID-730 A-88 S-9
ID-791 A-88 S-10
ID-852 A-88 S-3
ID-866 A-88 S-9
ID-61 A-89 S-10
ID-77 A-89 S-8
ID-145 A-89 S-4
ID-165 A-89 S-5
ID-198 A-89 S-7
ID-202 A-89 S-9
ID-249 A-89 S-10
ID-310 A-89 S-7
ID-412 A-89 S-4
ID-492 A-89 S-6
ID-630 A-89 S-3
ID-721 A-89 S-10
ID-9 A-90 S-8
ID-162 A-90 S-6
ID-304 A-90 S-3
ID-458 A-90 S-10
ID-677 A-90 S-5
ID-689 A-90 S-7
ID-27 A-91 S-6
ID-34 A-91 S-5
ID-451 A-91 S-3
ID-482 A-91 S-9
ID-535 A-91 S-10
ID-815 A-91 S-8
ID-900 A-91 S-4
ID-948 A-91 S-3
ID-957 A-91 S-6
ID-38 A-92 S-3
ID-43 A-92 S-10
ID-273 A-92 S-11
ID-342 A-92 S-10
ID-442 A-92 S-4
ID-464 A-92 S-11
ID-597 A-92 S-5
ID-713 A-92 S-7
ID-786 A-92 S-7
ID-908 A-92 S-3
ID-409 A-93 S-11
ID-418 A-93 S-11
ID-426 A-93 S-3
ID-481 A-93 S-10
ID-621 A-93 S-8
ID-679 A-93 S-5
ID-680 A-93 S-5
ID-746 A-93 S-5
ID-857 A-93 S-3
ID-79 A-94 S-3
ID-368 A-94 S-11
ID-466 A-94 S-7
ID-701 A-94 S-11
ID-711 A-94 S-9
ID-128 A-95 S-7
ID-224 A-95 S-10
ID-529 A-95 S-4
ID-542 A-95 S-7
ID-558 A-95 S-11
ID-687 A-95 S-3
ID-835 A-95 S-6
ID-924 A-95 S-6
ID-317 A-96 S-4
ID-546 A-96 S-4
ID-666 A-96 S-5
ID-719 A-96 S-3
ID-775 A-96 S-7
ID-799 A-96 S-6
ID-800 A-96 S-10
ID-915 A-96 S-4
ID-74 A-97 S-6
ID-210 A-97 S-11
ID-378 A-97 S-9
ID-381 A-97 S-9
ID-406 A-97 S-8
ID-427 A-97 S-4
ID-468 A-97 S-4
ID-515 A-97 S-11
ID-590 A-97 S-9
ID-607 A-97 S-8
ID-807 A-97 S-9
ID-840 A-97 S-10
ID-904 A-97 S-3
ID-122 A-98 S-9
ID-189 A-98 S-6
ID-213 A-98 S-5
ID-270 A-98 S-5
ID-288 A-98 S-7
ID-400 A-98 S-3
ID-441 A-98 S-9
ID-444 A-98 S-10
ID-530 A-98 S-10
ID-572 A-98 S-11
ID-582 A-98 S-11
ID-631 A-98 S-5
ID-36 A-99 S-7
ID-47 A-99 S-7
ID-188 A-99 S-9
ID-204 A-99 S-10
ID-545 A-99 S-6
ID-592 A-99 S-9
ID-647 A-99 S-3
ID-672 A-99 S-3
ID-804 A-99 S-4
ID-923 A-99 S-10
ID-113 A-100 S-3
ID-302 A-100 S-4
ID-376 A-100 S-3
ID-526 A-100 S-10
ID-600 A-100 S-5
ID-636 A-100 S-11
ID-771 A-100 S-8
ID-825 A-100 S-8
ID-872 A-100 S-8
ID-981 A-100 S-8
ID-22 A-101 S-11
ID-31 A-101 S-10
ID-33 A-101 S-6
ID-148 A-101 S-9
ID-335 A-101 S-11
ID-512 A-101 S-8
ID-573 A-101 S-11
ID-634 A-101 S-6
ID-745 A-101 S-4
ID-867 A-101 S-8
ID-994 A-101 S-9
ID-73 A-102 S-3
ID-170 A-102 S-6
ID-219 A-102 S-11
ID-228 A-102 S-3
ID-292 A-102 S-4
ID-330 A-102 S-9
ID-386 A-102 S-3
ID-439 A-102 S-4
ID-532 A-102 S-5
ID-849 A-102 S-3
ID-941 A-102 S-6
ID-972 A-102 S-8
ID-10 A-103 S-8
ID-32 A-103 S-5
ID-173 A-103 S-4
ID-184 A-103 S-7
ID-205 A-103 S-4
ID-798 A-103 S-4
ID-838 A-103 S-7
ID-983 A-103 S-9
ID-233 A-104 S-5
ID-309 A-104 S-3
ID-404 A-104 S-3
ID-454 A-104 S-5
ID-594 A-104 S-8
ID-717 A-104 S-8
ID-826 A-104 S-3
ID-895 A-104 S-11
ID-896 A-104 S-11
ID-914 A-104 S-3
ID-927 A-104 S-7
ID-6 A-105 S-9
ID-95 A-105 S-5
ID-157 A-105 S-5
ID-160 A-105 S-11
ID-259 A-105 S-11
ID-353 A-105 S-3
ID-700 A-105 S-8
ID-776 A-105 S-11
ID-3 A-106 S-8
ID-114 A-106 S-7
ID-141 A-106 S-3
ID-779 A-106 S-10
ID-841 A-106 S-9
ID-139 A-107 S-10
ID-222 A-107 S-3
ID-407 A-107 S-9
ID-576 A-107 S-9
ID-643 A-107 S-6
ID-659 A-107 S-11
ID-167 A-108 S-4
ID-179 A-108 S-4
ID-331 A-108 S-7
ID-724 A-108 S-10
ID-762 A-108 S-8
ID-796 A-108 S-6
ID-20 A-109 S-4
ID-52 A-109 S-4
ID-434 A-109 S-6
ID-495 A-109 S-3
ID-544 A-109 S-8
ID-632 A-109 S-3
ID-646 A-109 S-5
ID-729 A-109 S-4
ID-754 A-109 S-10
ID-805 A-109 S-6
ID-959 A-109 S-8

Time: 1

Time: 1

Time: 3

Time: 4

Time: 5

Time: 6

Time: 7

Time: 8

Time: 8

Time: 9

Time: 10
Chosen queue 0
Task sleeping: ID-54 A-10 S-5
Client ID-54 A-10 S-5 was put in queue number 0
Chosen queue 1
Client ID-99 A-10 S-3 was put in queue number 1
Chosen queue 2
Client ID-104 A-10 S-6 was put in queue number 2
Chosen queue 3
Client ID-163 A-10 S-8 was put in queue number 3
Chosen queue 4
Task sleeping: ID-99 A-10 S-3
Client ID-246 A-10 S-6 was put in queue number 4
Task sleeping: ID-104 A-10 S-6
Task sleeping: ID-163 A-10 S-8
Task sleeping: ID-246 A-10 S-6
Chosen queue 5
Client ID-366 A-10 S-10 was put in queue number 5
Chosen queue 6
Client ID-390 A-10 S-11 was put in queue number 6
Chosen queue 7
Task sleeping: ID-433 A-10 S-9
Client ID-433 A-10 S-9 was put in queue number 7
Task sleeping: ID-366 A-10 S-10
Chosen queue 8
Task sleeping: ID-390 A-10 S-11
Task sleeping: ID-449 A-10 S-10
Client ID-449 A-10 S-10 was put in queue number 8
Chosen queue 9
Task sleeping: ID-504 A-10 S-4
Client ID-504 A-10 S-4 was put in queue number 9
Chosen queue 10
Client ID-553 A-10 S-9 was put in queue number 10
Chosen queue 11
Task sleeping: ID-664 A-10 S-10
Task sleeping: ID-553 A-10 S-9
Client ID-664 A-10 S-10 was put in queue number 11
Chosen queue 12
Client ID-861 A-10 S-6 was put in queue number 12
Task sleeping: ID-861 A-10 S-6

Time: 13
Chosen queue 13
Task sleeping: ID-37 A-11 S-11
Client ID-37 A-11 S-11 was put in queue number 13
Chosen queue 14
Client ID-178 A-11 S-7 was put in queue number 14
Chosen queue 15
Task sleeping: ID-505 A-11 S-6
Task sleeping: ID-178 A-11 S-7
Client ID-505 A-11 S-6 was put in queue number 15
Chosen queue 16
